incident_type,location,date,time,summary,disposition,interesting,month_year
Suspicious Circumstance,UCSD Police Department,3/16/24,12:08 PM,Adult male in lobby requesting to speak with officer regarding a retired police officer,Report Taken,t,Mar-24
Information Only,Torrey Pines Gliderport,3/16/24,Unknown,Report of indecent exposure incident that happened the previous week,Referred to Other Agency - San Diego Police Department,t,Mar-24
Grand Theft,Mesa Apartments Central,3/16/24,7:00 PM - 9:00 AM,"Secured bicycle stolen, loss $1,100.00",Report Taken,f,Mar-24
Information,Holiday Ct,3/16/24,1:40 PM,"Anonymous caller advised that an unknown group of individuals will be ""laying siege"" to the Jewish Community Center across campus using catapults, no other specifics provided",Information Only,t,Mar-24
Vandalism,Redwood Drive,3/16/24,8:35 AM - 12:45 PM,"Unknown suspect(s) caused damage to bicycle after attempting to steal it, cost of damage $1,000.00",Report Taken,f,Mar-24
Animal Call,Structural and Material Engineering Building,3/16/24,2:32 PM,Crow locked inside room,Referred to Other UCSD Department - Central Plant,t,Mar-24
Medical Aid,"One Miramar Street, Building 4",3/16/24,2:55 PM,Male experiencing seizures,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Hit and Run Collision,Scholars Drive North,3/16/24,3:30 PM,"Resident Advisor requesting incident number, witnessed a vehicle vs skateboarder collision, vehicle slowed down but did not stop or check on victim's welfare, victim advised they got hit in side but had to go to a final examination",Information Only,t,Mar-24
Welfare Check,Price Center East,3/16/24,4:27 PM,Two children let inside parked vehicle,Unable to Locate,t,Mar-24
Citizen Contact,UCSD Police Department,3/16/24,5:38 PM,Property pick-up,Service Provided,f,Mar-24
Noise Disturbance,Nuevo East,3/16/24,5:46 PM,Loud laughing,Will Cooperate,f,Mar-24
Medical Aid,Parking Lot P508,3/16/24,6:44 PM,"Female with existing spinal cord injury, experiencing pain and unable to move, requesting paramedics",Referred to Other Agency - San Diego Fire Department,t,Mar-24
Medical Aid,Hopkins Drive/ Voigt Drive,3/16/24,7:25 PM,Female having seizure,Checks OK,f,Mar-24
Petty Theft,Keeling Building,3/16/24,1:30 PM - 2:40 PM,"Secured bicycle stolen, loss $100.00",Online Report,f,Mar-24
Illegal Parking,Library Walk,3/16/24,8:16 PM,Report of unoccupied van parked illegally and blocking walkway,Unable to Locate,f,Mar-24
Fire,Interstate 5,3/16/24,11:31 PM,Report of vegetation fire,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Marijuana Contact,North America Hall,3/17/24,1:24 AM,Strong odor of marijuana coming from suite,Unable to Locate,f,Mar-24
Quiet Hours Contact,Kaleidoscope / Tapestry,3/17/24,1:26 AM,Group in grass area,Will Cooperate,f,Mar-24
Noise Disturbance,Kaleidoscope,3/17/24,2:01 AM,Group at basketball court,Referred to Student Conduct,f,Mar-24
Campus Security Authority Report,Tapestry Residential Hall,3/17/24,3:30 PM - 5:30 PM,"Complainant reported three incidents of being followed by a Respondent/male student to floor that complainant lives on, despite Respondent living on a different floor",Online Report,t,Mar-24
Petty Theft,Blake Hall,3/17/24,10:00 PM - 9:00 AM,"Secured bicycle stolen, loss $150.00",Online Report,f,Mar-24
Illegal Camping,Natural Sciences Building,3/17/24,1:14 PM,"Reporting party entered a conference space and found a subject sleeping in a sleeping bag, subject woke up and left quickly",Service Provided,t,Mar-24
Citizen Contact,Gilman Drive/ Russell Lane,3/17/24,1:56 PM,Request for directions,Service Provided,f,Mar-24
Suspicious Person,Parking Lot P401,3/17/24,6:44 PM,Subject going through dumpsters,Gone On Arrival,f,Mar-24
Citizen Assist,Thornton Pavilion,3/17/24,9:16 PM,Caller requesting an ambulance for transport to another hospital,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Fire,Kaleidoscope,3/17/24,9:27 PM,Burnt food set off fire alarm,False Alarm,f,Mar-24
Extortion,UCSD,3/17/24,12:00 AM - 7:08 PM,"Victim defrauded out of $1,106.600.00 by unknown suspect(s) posing as Shanghai Law Enforcement Officials over a span of 8 months",Report Taken,t,Mar-24
Medical Aid,Thurgood Marshall Res Hall North,3/17/24,11:44 PM,Request ambulance for fever and chills,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Noise Disturbance,Charles David Keeling Apartments 1,3/18/24,1:13 AM,"Loud voices, talking and music",Will Cooperate,f,Mar-24
Noise Disturbance,Seventh College West #5,3/18/24,4:46 AM,Yelling and loud music,Will Cooperate,f,Mar-24
Medical Aid,Discovery Hall,3/18/24,5:46 AM,Young adult female experiencing chest and arm pain,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Burglary,Coast Apartments,3/18/24,2:00 PM - 9:00 AM,"Unknown suspect(s) forced entry into storage and stole tools, loss $30.00",Report Taken,f,Mar-24
Hazard Situation,Thornton Pavilion,3/18/24,7:15 AM,Syringe found on picnic table,"Referred to Other UCSD Department - Environmental, Health and Safety",t,Mar-24
Disturbance,Genesee Avenue,3/18/24,9:57 AM,Via 911; report of aggressive passenger,Disposition Referred to Other Agency - San Diego Police Department,f,Mar-24
Suspicious Circumstances,Jacobs Medical Center,3/18/24,11:20 AM,Non-affiliate male transported off campus after being detained by hospital security for possibly tampering with hospital propane tanks and attempting to impersonate a physician,Stay Away Order Issued,t,Mar-24
Welfare Check,Tuolumne Apartments,3/18/24,12:36 PM,"Request for Triton Core, student in distress, hasn't been able to sleep",Referred to Other UCSD Department - Triton Core,f,Mar-24
Injury,Preuss School,3/18/24,1:50 PM,"Juvenile female accidentally ingested broken glass, having sharp abdominal pains",Referred to Other Agency - San Diego Fire Department,t,Mar-24
Injury,Charles David Keeling Apartments 1,3/18/24,2:00 PM,"Adult male tripped and fell, dislocted shoulder",Referred to Other Agency - San Diego Fire Department,f,Mar-24
Rape,UCSD Residential Area,3/18/24,06:00 AM - 9:00 AM,Suspect had sex with victim while the victim was under the influence of an intoxicating substance,Report Taken,t,Mar-24
Incomplete/ Accidental Landline 911 Call,Brisa,3/18/24,4:12 PM,Accidental push on elevator,Logged Event,f,Mar-24
Welfare Check,Brisa,3/18/24,4:17 PM,"Reporting party hasn't heard from student in over a month, message notifications silenced and have not been read",Checks OK,t,Mar-24
Pretty Theft  - Micro Mobility Device,RIMAC - Liontree Arena,3/18/24,2:30 PM - 4:50 PM,"Secured electric scooter stolen, loss $600.00",Online Report,f,Mar-24
Petty Theft,Mesa Apartments Central,3/18/24,8:00 AM - 8:15 AM,"Secured bicycle stolen, loss $599.00",Online Report,f,Mar-24
Petty Theft,Mesa Apartments Central,3/18/24,6:45 PM - 6:45 PM,"Secured bicycle stolen, loss $200.00",Online Report,f,Mar-24
Illegal Dumping,Brown Hall,3/18/24,7:36 PM,Two subjects dumped a couch in the canyon,Will Cooperate,t,Mar-24
Noise Disturbance,Charles David Keeling Apartments,3/18/24,8:05 PM,Loud group talking and laughing,Quiet On Arrival,f,Mar-24
Patient Disturbanct,UCSD Medical Center - Hillcrest,3/18/24,2:56 PM,Psych patient was being verbally abusive and making criminal threats towards staff,Information Only,t,Mar-24
Suspicious Person,John's Place and Market,3/19/24,12:07 AM,"""Male rolling joints"" at location",Field Interview,t,Mar-24
Medical Aid,Koman Family Patient Pavilion,3/19/24,11:06 AM,Medical transport,Disposition Referred to Other Agency - San Diego Fire Department,f,Mar-24
Medical Aid,Shiley Eye Institute,3/19/24,12:06 PM,Patient showing signs of stroke,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Citizen Contact,Student Health & Wellness Center,3/19/24,Unknown,Report of suspicious injury that occurred a month ago,Information Only,t,Mar-24
Medical Aid,Charles David Keeling Apartments,3/19/24,12:49 PM,Young adult female experiencing chest pains and feeling light headed,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Traffic Hazard,Interstate 5 Southbound/Genesee Avenue,3/19/24,1:11 PM,Via 911; report of ladder in southbound lanes,Referred to Other Agency - California Highway Patrol,f,Mar-24
Citizen Contact,Greenhouse Lane,3/19/24,1:40 PM,Questions regarding fix it ticket,Service Provided,f,Mar-24
Petty Theft - Micro Mobility Device,Recreation Gymnasium,3/19/24,10:30 AM - 2:45 PM,"Secured electric scooter stolen, loss $220.00",Report Taken,f,Mar-24
Petty Theft,Center Hall,3/19/24,1:00 PM - 4:25 PM,"Secured bicycle stolen, loss $300.00",Online Report,f,Mar-24
Petty Theft,Mosaic,3/19/24,6:00 PM - 12:00 PM,"Stolen crafting clay, loss $50.00",Report Taken,f,Mar-24
Annoying/ Harassing Phone Call,"One Miramar Street, Building 1",3/19/24,8:00 AM - 8:00 PM,"Known suspect to victim has sent several text messages, emails, repeated phone calls, and sent gifts to victim's residence, despite victim's request to stop communication",Report Taken,t,Mar-24
Hit & Run Collision: Non Injury,Pangea Parking,3/19/24,5:00 PM,"Per reporting party, other motorist refusing to provide information, no report desired at this",Information Only,t,Mar-24
Suspicious Injury Report,"Unknown Location, San Diego, Ca",3/19/24,12:00 AM - 11:59 PM,Report of oral copulation without consent at off campus party,Referred to Other Agency - San Diego Police Department,t,Mar-24
Noise Disturbance,Brown Hall - Basketball Courts,3/19/24,8:03 PM,People yelling,Referred to Student Conduct,f,Mar-24
Grand Theft,East Campus Office Building,3/19/24,11:30 AM - 3:45 PM,"Secured bicycle stolen, loss $2,500.00",Report Taken,f,Mar-24
Injury,Applied Physics & Mathematics,3/19/24,9:02 PM - 9:52 PM,Female fell while riding her electric scooter,Report Taken,f,Mar-24
Medical Aid,Moores Cancer Center,3/29/24,5:56 PM,Medical transport,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Reckless Driving,Torrey Pines Rd/ North Torrey Pines Rd,3/19/24,10:01 PM,Vehicles street racing,Referred to Other Agency - San Diego Police Department,f,Mar-24
Quiet Hours Contact,Revelle Plaza,3/19/24,11:43 PM,Students playing volleyball,Will Cooperate,f,Mar-24
Noise Disturbance,Pepper Canyon Apartments,3/2/24,12:02 AM,Loud music and talking,Quiet On Arrival,f,Mar-24
Noise Disturbance,Pepper Canyon Apartments,3/2/24,12:04 AM,Female heard screaming from second floor,Unable to Locate,f,Mar-24
Suspicious Person,Galbraith Hall,3/2/24,12:04 AM,Male tampering with doors,Unable to Locate,f,Mar-24
Reckless Driving,Parking Lot Exchange,3/2/24,12:08 AM,Vehicle doing donuts and burnouts in UCSD Health parking lot,Unable to Locate,t,Mar-24
Hazard Situation,North Break Study Lounge,3/2/24,1:43 AM,Two students on roof,Referred to Student Conduct,f,Mar-24
Medical Aid,Seventh College West,3/2/24,2:28 AM,"21 year old female over-intoxicated, medical transportation refused",Disposition Referred to Other Agency - San Diego Fire Department,t,Mar-24
Alcohol Contact,Blake Hall,3/2/24,2:34 AM,"During investigation of underage alcohol consumption, several empty bottles of alcohol were found as well as a bag containing cannabis cigarettes and smoking paraphernalia",Disposition Referred to Student Conduct,t,Mar-24
Smoke Check,Harlan Hall,3/2/24,3:40 AM,Subject smoking,Will Cooperate,f,Mar-24
Citizen Contact,Lot P504,3/2/24,3:53 AM,"Male seen vomitting near vehicle, then got into passenger seat",Checks OK,t,Mar-24
Marijuana Contact,Piedra,3/2/24,8:58 AM,University policy violation; two subjects smoking marijuana,Gone On Arrival,f,Mar-24
Security Alarm,Galbraith Hall,3/2/24,9:01 AM,Set off by employee,Checks OK,f,Mar-24
Suspicious Person,Price Center West,3/2/24,9:32 AM,Male washing himself in restroom,Gone On Arrival,t,Mar-24
Suspicious Person,Price Center West - Bookstore,3/2/24,9:56 AM,Male appears lost and confused,Field Interview,f,Mar-24
Information,Trolley - La Jolla Health Station,3/2/24,2:32 PM,"Male caller advising he does not need an ambulance, will walk to hospital",Logged Event,f,Mar-24
Disturbance - General,Birch Aquarium,3/2/24,3:00 PM,Argument in parking lot regarding a possible hit and run collision that occurred at an unknown location,Service Provided,t,Mar-24
Found Property,"San Francisco, California",3/2/24,6:42 PM,Found wallet with student ID,Information Only,f,Mar-24
Traffic Hazard,Voigt Drive,3/2/24,6:51 PM,Vehicle blocking lane,Service Provided,f,Mar-24
Medical Aid,Trolley - La Jolla Health Station,3/2/24,7:04 PM,Reporting party experiencing chest pain and having difficulty breathing,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Reckless Driving: Parking Lot,Parking Lot P782,3/2/24,7:36 PM,Student motorist doing donuts in parking lot,"Closed By Citation, Adult",t,Mar-24
Illegal Parking,Encelia Drive,3/2/24,8:03 PM,Vehicle blocking driveway,Referred to Other Agency - San Diego Police Department,f,Mar-24
Noise Disturbance,Viento,3/2/24,10:12 PM,Tapping sound coming from ceililng,Cancelled,f,Mar-24
Obstruct/Resist Police Officer - Simple Assault/ Drug law Arrest,Trolley - Central Campus Station,3/20/24,1:19 AM - 3:20 AM,"Suspect contacted following a report of a subject walking up stairs towards trolley platform, smoking from a glass pipe that appeared to be narcotics",Closed by Adult Arrest,f,Mar-24
Information,Campus Services Complex - Gas Pumps,3/20/24,4:33 AM,Door on gas pump not secure,Referred to Other UCSD Department - Central Plant,f,Mar-24
Suspicious Circumstances,Scholars Parking,3/20/24,9:25 AM,"Staff discovered a knife, an odor of marijuana and what appears to be a ""hang out"" spot for smokers with in stairwell",Information Only,t,Mar-24
Injury,Moores Cancer Center,3/20/24,9:53 AM,Female fell just outside location,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Petty Theft,Gildred Latin American Studies,3/20/24,Unknown,"Unknown suspect(s) stole clothing items from office, loss $10.00",Report Taken,f,Mar-24
Found Property,Trolley - Central Campus Station,3/20/24,1:17 PM,Found wallet,Information Only,f,Mar-24
Information,Sheila and Hughes Potiker Theater,3/20/24,1:26 PM - 1:51 PM,"Report of non-affiliate female in Plaza area, unable to wake up, unresponsive",Referred to Other Agency- San Diego Fire Department,t,Mar-24
Injury,Shiley Eye Institute,3/20/24,2:33 PM,"Female patient fell at home and was then dropped off at location, having memory trouble",Referred to Other Agency - San Diego Fire Department,t,Mar-24
Discharge of Firearm,Nobel Drive,3/20/24,3:05 PM,Caller thinks they heard shots fired,Referred to Other Agency- San Diego Police Department,f,Mar-24
Welfare Check,Galbraith Hall,3/20/24,3:11 PM,CAPS requesting assistance with student,Referred to Other UCSD Department- Triton CORE,f,Mar-24
Medical Aid,Shiley Eye Institute,3/20/24,3:19 PM,Medical transport,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Grand Theft - Micro Mobility Device,Ridge Walk Academic Building,3/20/24,4:30 PM - 6:30 PM,"Secured electric bicycle stolen, loss $1,000.00",Report Taken,f,Mar-24
Traffic Hazard,Intestate 805/ Sorrento Valley,3/20/24,5:11 PM,Stalled vehicle,Referred to Other Agency - California Highway Patrol,f,Mar-24
Medical Aid,Koman Family Outpatient Pavilion,3/20/24,6:52 PM,Elderly female unable to sustain oxygen levels,Referred to Other Agency - San Diego Fire Department,f,Mar-24
Suspicious Person,Geisel Library,3/20/24,7:45 PM,Possible bicycle caser,Gone On Arrival,f,Mar-24
Noise Disturbance,La Jolla Del Sol Apartments,3/20/24,8:04 PM,"Neighbors dog barking for 30 to 40 minutes, very unusual per reporting party",Referred to Student Conduct,f,Mar-24
Citizen Assist,Joan and Irwin Jacobs La Jolla Playhouse,3/20/24,8:55 PM,Subject requesting information on location,Service Provided,f,Mar-24
